['¼ª', 'C', 'J', 'J', 'G', 'N', '5']
['¾©', 'M', 'Q', 'X', '1', 'W', 'J']
['ÔÆ', 'R', 'W', '1', '9', 'S', 'F']
['Çà', 'S', 'W', 'H', 'Z', 'X', '3']
['ºÚ', 'Y', '6', '3', 'G', 'G', 'C']
['ÐÂ', 'G', 'F', 'A', '0', '8', 'R']
['¼ª', 'P', 'K', 'H', '1', '2', 'Q']
['Íî', 'W', 'T', 'H', '8', '2', 'Z']
['¾©', 'Y', 'J', '3', '0', '1', 'W']
['Õã', 'T', 'J', 'Q', 'V', 'G', '2']
['¾©', 'J', 'Y', 'H', '7', 'N', '7']
['Íî', 'N', 'W', 'E', '2', 'E', '8']
['Ãö', 'F', 'M', 'J', '9', 'X', '5']
['¾©', 'E', 'V', 'T', 'C', 'X', 'A']
['´¨', 'L', 'Z', 'M', 'G', 'J', '6']
['Óå', 'E', 'J', '6', '3', 'N', 'X']
['¸Ê', 'V', 'F', '5', 'Q', 'K', 'F']
['Â³', 'G', 'Y', 'P', '7', 'X', 'T']
['Â³', 'X', 'M', 'B', 'N', '5', 'A']
['Çà', 'Y', 'W', 'G', 'K', 'A', 'Q']
['Â³', 'B', '6', '5', 'A', 'F', 'R']
['½ú', 'P', 'W', 'K', 'N', '0', 'X']
['Ãö', 'T', '7', 'Z', 'B', 'A', 'N']
['Ïæ', 'Z', 'D', 'V', 'N', 'C', 'E']
['Äþ', 'P', 'S', 'F', '9', 'K', 'K']
['Õã', 'S', 'B', '0', 'Y', 'T', '3']
['Äþ', 'M', '7', '1', 'X', '0', '9']
['ºÚ', 'E', '4', 'M', '1', 'U', 'X']
['²Ø', 'H', '0', '6', 'V', '6', '2']
['ÔÆ', 'H', 'E', 'Y', '2', '5', 'S']
['ÁÉ', 'Q', 'W', 'S', 'W', 'V', 'G']
['ÉÂ', 'H', 'S', 'H', 'F', 'B', 'N']
['¶õ', 'Z', 'R', 'G', '6', 'H', '4']
['ÐÂ', 'B', 'U', 'S', 'K', 'Q', 'G']
['¶õ', 'C', 'Z', 'V', 'G', 'E', '1']
['»¦', 'Q', '4', 'V', '7', '3', 'X']
['Ô¥', 'R', '2', '5', '7', '5', 'R']
['Óå', 'G', 'Z', 'V', '9', 'N', 'U']
['Çà', 'R', '3', '4', 'K', 'A', '7']
['ËÕ', 'E', 'B', 'V', '3', 'H', 'R']
